"Timestamp","uid","time","name","target","info","state","version"
"2022/11/08 7:26:39 PM CST","OS_X-Chrome-08846840561133962","1667957199656","mousedown","div.card.col-lg-4.shadow","{""which"":1,""pageX"":750,""pageY"":513}","","B"
"2022/11/08 7:26:40 PM CST","OS_X-Chrome-08846840561133962","1667957200370","mousedown","div#content","{""which"":1,""pageX"":764,""pageY"":549}","","B"
"2022/11/08 7:26:42 PM CST","OS_X-Chrome-08846840561133962","1667957202080","keydown","body","{""which"":16}","","B"
"2022/11/08 7:26:42 PM CST","OS_X-Chrome-08846840561133962","1667957202464","keydown","body","{""which"":91}","","B"
"2022/11/08 7:26:44 PM CST","OS_X-Chrome-08846840561133962","1667957203859","keydown","body","{""which"":17}","","B"
"2022/11/08 7:26:44 PM CST","OS_X-Chrome-08846840561133962","1667957204189","keydown","body","{""which"":83}","","B"
"2022/11/08 7:26:44 PM CST","OS_X-Chrome-08846840561133962","1667957204193","ShortcutCreate","document","{""key1"":""val1"",""key2"":""val2"",""key3"":""val3""}","","B"
"2022/11/08 7:26:47 PM CST","OS_X-Chrome-08846840561133962","1667957207564","keydown","input#event-name.title.col-md-12.form-control","{""which"":72}","","B"
"2022/11/08 7:26:48 PM CST","OS_X-Chrome-08846840561133962","1667957207734","keydown","input#event-name.title.col-md-12.form-control","{""which"":73}","","B"
"2022/11/08 7:26:48 PM CST","OS_X-Chrome-08846840561133962","1667957208675","mousedown","input#event-location.col-md-12.form-control","{""which"":1,""pageX"":745,""pageY"":269}","","B"
"2022/11/08 7:26:49 PM CST","OS_X-Chrome-08846840561133962","1667957209369","keydown","input#event-location.col-md-12.form-control","{""which"":72}","","B"
"2022/11/08 7:26:49 PM CST","OS_X-Chrome-08846840561133962","1667957209521","keydown","input#event-location.col-md-12.form-control","{""which"":73}","","B"
"2022/11/08 7:26:50 PM CST","OS_X-Chrome-08846840561133962","1667957210791","mousedown","button#clear-event-button.btn.btn-secondary","{""which"":1,""pageX"":933,""pageY"":578}","","B"
"2022/11/08 7:26:51 PM CST","OS_X-Chrome-08846840561133962","1667957210904","resetbutton","document","{""key1"":""val1"",""key2"":""val2""}","","B"
